date,premise_code,item_code,price
2023-11-14,4667,2,15.5
2023-11-14,5218,2,10.99
2023-11-14,5234,2,10.8
2023-11-14,5274,2,8.79
2023-11-14,5377,2,8.79
2023-11-14,5379,2,11.8
2023-11-14,5678,2,11.6
2023-11-14,5895,2,10.39
2023-11-14,5980,2,10.4
2023-11-14,6143,2,11.0
2023-11-14,6177,2,11.59
2023-11-14,9051,2,10.8
2023-11-14,9787,2,10.4
2023-11-14,9933,2,12.0
2023-11-14,10720,2,11.89
2023-11-14,10750,2,12.3
2023-11-14,11332,2,11.7
2023-11-14,11523,2,11.5
2023-11-14,11524,2,10.99
2023-11-14,11536,2,11.9
2023-11-14,11537,2,11.5
2023-11-14,11538,2,12.3
2023-11-14,11543,2,12.3
2023-11-14,11550,2,12.0
2023-11-14,11564,2,9.6
2023-11-14,11587,2,13.0
2023-11-14,11614,2,10.39
2023-11-14,11622,2,9.6
2023-11-14,11630,2,10.9
2023-11-14,11652,2,9.6
2023-11-14,11699,2,10.39
2023-11-14,11711,2,13.99
2023-11-14,11925,2,10.4
2023-11-14,12743,2,9.9
2023-11-14,12761,2,12.0
2023-11-14,13790,2,9.6
2023-11-14,14384,2,11.8
2023-11-14,14807,2,9.6
2023-11-14,14811,2,9.6
2023-11-14,14863,2,11.89
2023-11-14,15531,2,12.8
2023-11-14,15820,2,12.29
2023-11-14,15903,2,8.79
2023-11-14,16087,2,9.6
2023-11-14,16195,2,11.99
2023-11-14,16353,2,9.99
2023-11-14,16383,2,12.29
2023-11-14,16394,2,11.99
2023-11-14,16472,2,11.2
2023-11-14,16482,2,9.79
2023-11-14,16519,2,10.99
2023-11-14,16522,2,12.5
2023-11-14,17098,2,11.99
2023-11-14,17101,2,10.5
2023-11-14,17128,2,8.79
2023-11-14,17152,2,11.89
2023-11-14,17167,2,9.9
2023-11-14,17179,2,12.8
2023-11-14,17329,2,11.99
2023-11-14,17488,2,13.29
2023-11-14,17522,2,8.79
2023-11-14,17649,2,9.89
2023-11-14,17712,2,10.4
2023-11-14,17727,2,11.5
2023-11-14,17728,2,11.8
2023-11-14,17789,2,11.49
2023-11-14,17797,2,9.39
2023-11-14,17828,2,11.5
2023-11-14,17831,2,11.89
2023-11-14,17835,2,11.6
2023-11-14,17839,2,11.59
2023-11-14,17851,2,12.3
2023-11-14,17866,2,10.99
2023-11-14,17876,2,11.5
